Vol,Dense,nHA,nHD,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,gasa,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,GSK,GoldenTriangle,logS,logD,mp,bp,pka_acidic,pka_basic,caco2,MDCK,PAMPA,pgp_inh,pgp_sub,hia,f20,f30,f50,OATP1B1,OATP1B3,BCRP,BSEP,BBB,MRP1,PPB,logVDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CYP2B6-inh,CYP2B6-sub,CYP2C8-inh,LM-human,cl-plasma,t0.5,BCF,IGC50,LC50DM,LC50FM,hERG,SkinSen,Respiratory,H-HT,Neurotoxicity-DI,Ototoxicity,Hematotoxicity,Nephrotoxicity-DI,Genotoxicity,RPMI-8226,A549,HEK293,NR-AhR,NR-AR,NR-AR-LBD,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Aggregators,Fluc,Blue_fluorescence,Green_fluorescence,Reactive,Other_assay_interference,Promiscuous
302.5189739,1.008432615,1,1,2,268,10,3,0,17,0.117647059,2,0,0.806,2.919,0.294,53.818,0.118,1,0,-4.481918685,3.699148401,109.5560952,287.9073767,9.882086092,7.447440162,-4.992436294,-4.87762202,0.002957401,0.989001751,0.057680752,0,9.30E-05,0.109994054,0.962643631,0.931886554,0.885805368,0.032394126,0.999647021,0.999988317,0.601269186,97.37855904,0.58301749,2.470176559,0.991257429,0.999996066,0.951490223,0.999999642,0.250646681,0.998887837,0.999766052,0.998712301,0.162780195,0.999988556,0.999899626,0.999981046,0.941430688,0.81822902,7.505119617,0.873851221,3.098606683,4.441303962,5.766634482,5.480409102,0.979696155,0.987718344,0.981864214,0.997945368,0.975347996,0.951561153,0.885924757,0.999884963,0.717425048,0.245316222,0.943739533,0.974856019,0.108788803,0.033478454,0.014190379,0.376600623,0.240113139,0.024832986,0.029409435,0.685817897,0.039591987,0.035847373,0.982795537,0.643560052,0.969,0.462,0.063,0.087,0.022,0.156,0.906
319.8149591,0.997733192,1,0,2,268,10,3,0,17,0.117647059,2,0,0.704,2.99,0.333,56.667,-0.152,1,0,-4.683630165,3.851515485,111.5708795,302.5176809,10.14622364,7.461310105,-4.952995369,-4.927286716,0.00320868,0.987990916,0.054675493,0.000000119,5.01E-05,0.013719678,0.769134015,0.930609107,0.911057472,0.284985781,0.999748886,0.999966383,0.488289237,97.56446886,0.645242395,2.260796396,0.042922415,0.999899626,0.334698409,0.999998569,0.695217669,0.971792459,0.998208404,0.933839262,0.680759609,0.999991655,0.999061048,0.999966145,0.336721539,0.983624816,11.20016079,1.026168363,3.192361293,4.57711255,6.093186532,5.799387896,0.901842237,0.97717154,0.828850389,0.940757036,0.949448824,0.729445994,0.561371922,0.972711682,0.153020427,0.096779458,0.723780632,0.799535334,0.007808659,0.028764309,0.000694006,0.023008021,0.122529574,0.000697204,0.000379992,0.208119512,0.001778813,0.003084021,0.16102612,0.188602701,0.92,0.117,0.048,0.332,0.058,0.448,0.912
319.8149591,0.997733192,1,1,3,268,10,3,0,17,0.176470588,2,0,0.779,2.926,0.333,53.333,0.053,1,0,-4.614517568,3.782404526,112.4640395,295.3956169,9.907351333,7.264011814,-4.939583635,-4.904294469,0.004306633,0.990846574,0.713418126,0.000000715,0.000124812,0.07296437,0.87100172,0.24791263,0.548533082,0.064066447,0.999856949,0.999777853,0.785872996,97.4622542,0.665005168,2.24508312,0.862008154,0.999771535,0.980176926,0.999982119,0.797519088,0.969688356,0.999979854,0.996221066,0.130638734,0.999956846,0.999968529,0.999885559,0.88281095,0.884008706,7.42517523,0.699327299,3.224517364,4.523096726,5.833347604,5.633208197,0.975216329,0.972862482,0.993576944,0.998234987,0.992343843,0.941528261,0.709184945,0.999808133,0.863022327,0.215343907,0.829537034,0.954973876,0.135078356,0.058831714,0.053933453,0.178668544,0.324839294,0.090843737,0.029630812,0.664197803,0.010841559,0.266258061,0.970469713,0.607941389,0.965,0.397,0.05,0.269,0.015,0.352,0.892
337.1109443,0.988131669,1,1,4,268,10,3,0,17,0.235294118,2,0,0.727,2.92,0.368,52.923,-0.183,1,0,-4.885057747,4.041542982,104.019961,305.2890687,10.13799849,6.960459133,-4.97614418,-4.89936759,0.00474063,0.975776494,0.380379647,0.00000107,0.001650095,0.058872104,0.917445354,0.602269232,0.796657562,0.113213331,0.99952817,0.999675632,0.736325324,98.29810292,0.656115034,1.589041307,0.932355762,0.999931335,0.959502161,0.999924421,0.074967816,0.986430883,0.999982834,0.997113943,0.423417032,0.997501791,0.998742878,0.999866486,0.747208774,0.907322645,6.382101689,0.426602384,3.16889469,4.51592284,5.790995976,5.541792919,0.984884739,0.982965529,0.995520949,0.999528408,0.994425178,0.976891816,0.68754369,0.999927044,0.800051451,0.217146337,0.885188758,0.976615429,0.296040595,0.170183465,0.099067137,0.121871322,0.41035977,0.092694215,0.112017415,0.736414135,0.037355322,0.641842902,0.983324766,0.759039879,0.988,0.455,0.041,0.449,0.011,0.381,0.945
371.7029148,0.971582373,1,1,6,268,10,3,0,17,0.352941176,2,0,0.561,2.932,0.429,52.267,-0.105,1,0,-5.33508871,4.294601126,101.5850382,311.8617374,10.74463873,7.130401675,-5.058677098,-4.772367072,0.005002925,0.985558271,0.327538222,0.0000031,0.000670195,0.412357211,0.956114225,0.489043951,0.930273354,0.195220456,0.999661803,0.999284089,0.738125324,98.7004639,0.708732019,1.142516401,0.998647749,0.990098417,0.999976039,0.999688745,0.341229439,0.992972255,0.999999046,0.995793819,0.678528845,0.987082243,0.999999166,0.997089982,0.992701769,0.759397864,5.592231992,0.477289207,3.208565024,4.715109084,5.999033113,5.89053613,0.990671873,0.985195994,0.992688179,0.997929335,0.986941516,0.965899348,0.489196479,0.999587834,0.204323217,0.164515704,0.964173138,0.981789529,0.197948933,0.062628031,0.047270644,0.166207835,0.326620162,0.040884018,0.057608627,0.736321151,0.024046339,0.461199075,0.95680809,0.483739287,0.996,0.377,0.029,0.498,0.005,0.375,0.53
337.1109443,0.988131669,1,1,3,268,10,3,0,17,0.176470588,2,0,0.73,2.985,0.368,56.231,-0.198,1,0,-4.884641574,3.99920914,103.1413217,297.920595,10.17862648,7.069197045,-5.006523467,-4.843681808,0.009761376,0.982252002,0.718435764,0.000000358,2.11E-05,0.088854969,0.876974039,0.056520145,0.101072595,0.020740822,0.998947799,0.999707162,0.850231051,97.27315691,0.667915792,2.435865754,0.733238995,0.999772489,0.95154959,0.99999404,0.161318317,0.980832219,0.999670982,0.995380521,0.042525493,0.99962604,0.982710242,0.999953747,0.940553427,0.821433485,7.990595605,0.479716589,3.131778172,4.411982036,5.584563713,5.391364407,0.938123465,0.973615944,0.968909562,0.988594174,0.961899459,0.883591771,0.733559906,0.998860836,0.676419377,0.169833884,0.663028777,0.885940671,0.009100586,0.088241763,0.007288105,0.031902432,0.802575946,0.088694505,0.003204135,0.225591257,2.39E-05,0.003853893,0.437003821,0.025892591,0.977,0.138,0.035,0.338,0.008,0.294,0.393
380.4424411,0.980805398,1,1,3,268,10,3,0,23,0.130434783,2,0,0.617,2.999,0.455,72.5,-0.269,1,0,-5.296752672,4.152327326,151.3412442,325.2211279,11.29670786,7.585739258,-4.930945729,-4.780728902,0.002317202,0.189859644,0.077975363,0,1.01E-05,0.009233594,0.135442555,0.064449988,0.11473991,0.019123638,0.999828339,0.998277783,0.508100212,98.46270378,0.54978552,1.181835863,0.052062254,0.999796569,0.962059677,0.967505336,0.04596119,0.196117118,0.999989867,0.043677717,0.703164935,0.968726993,1,0.669112325,0.914855063,0.723554671,7.052229618,0.375318152,2.79295607,4.253546683,5.348462093,5.052198329,0.940231502,0.6760028,0.991024494,0.905783355,0.878200054,0.679671288,0.197010323,0.913227201,0.257669061,0.131067261,0.909183979,0.793325782,0.009927641,0.096678883,0.009676749,0.199915826,0.139573261,0.110970557,0.211760983,0.825423002,0.130116954,0.834307373,0.991275311,0.541464686,0.997,0.427,0.034,0.46,0.004,0.268,0.251
424.4210199,0.96399561,1,1,6,268,10,3,0,23,0.260869565,2,0,0.424,2.883,0.28,65,-0.191,1,0,-5.450259423,4.373769924,133.1957163,323.5494988,11.61613106,7.722601377,-4.884864612,-4.843377812,0.007024337,0.986866295,0.843603551,0.00000405,0.000370264,0.323822916,0.824479207,0.007949869,0.004179405,0.032098595,0.999998808,0.9973194,0.371566415,98.28864333,0.933333977,1.802687969,0.955409348,0.999667525,0.99420023,0.87073791,0.188848451,0.96165812,0.999774873,0.99981457,0.245073184,0.999995828,0.999993324,0.340058953,0.99477464,0.123958178,6.164790414,0.382423319,3.338685211,4.633552125,6.034092316,5.842375086,0.993000746,0.955563903,0.987365842,0.975651205,0.965051532,0.527128637,0.126109615,0.991524518,0.598494411,0.07950101,0.915403068,0.902047098,0.262421608,0.068463713,0.055178139,0.345436692,0.218678623,0.026462672,0.045989614,0.83469063,0.045677073,0.748714387,0.991319716,0.761142373,0.999,0.365,0.03,0.538,0.01,0.343,0.55
371.8859821,0.997940277,1,0,4,268,10,3,0,23,0.173913043,2,1,0.585,3.294,0.455,90.625,-0.362,1,0,-5.677533403,3.929572862,127.2321867,347.5406425,10.36133878,7.421865827,-5.251143964,-4.823972057,0.026282994,0.730309486,0.015954234,0,1.19E-07,2.04E-05,0.000636399,0.001873649,0.002906913,9.21E-05,0.999865174,0.999438107,0.53854841,98.37783281,0.692186263,1.240872417,7.54E-12,0.999998808,2.39E-09,0.000148834,5.18E-10,9.72E-07,1,0.999935269,5.15E-05,1,1,0.984275281,0.011318481,9.60E-05,6.177852347,0.835612465,2.245453903,4.432147749,5.654433376,5.181884027,0.938966334,0.899898589,0.976941884,0.891396523,0.91186744,0.840395093,0.276946396,0.952635467,0.506817698,0.133712918,0.683149993,0.783091664,0.541823387,0.302789271,0.21896334,0.380380452,0.579801798,0.361125469,0.211414471,0.696040034,0.047048643,0.757083952,0.946901619,0.636242986,0.982,0.392,0.027,0.423,0.011,0.341,0.345
372.5330642,0.985389044,1,1,3,268,10,3,0,23,0.130434783,2,0,0.521,2.804,0.182,66.154,-0.347,1,0,-6.318527491,4.286034934,99.42020087,334.352553,9.375415854,4.170838106,-4.866973048,-4.812024106,0.010661832,0.614618659,0.165938407,0.00000203,0.000220597,0.017757535,0.50636372,0.514847755,0.532348335,0.051443614,0.999904513,0.999292493,0.232964754,98.75687981,0.525741883,0.67492213,0.9967103,0.71351701,0.996279299,0.840480983,0.970270693,0.026718283,0.9991135,0.459118247,0.97686851,0.999967217,0.999998212,0.000391726,0.999297619,0.902490735,7.473331568,0.587604002,3.115503192,4.500995947,6.100034676,5.631913258,0.727369249,0.995117545,0.996046603,0.885942817,0.915692329,0.524721503,0.366701633,0.985231757,0.991715133,0.203909397,0.996116877,0.966118753,0.816296399,0.03934982,0.014853326,0.395401269,0.790119648,0.183198273,0.022894459,0.876601815,0.035074592,0.759780288,0.998612046,0.661918759,1,0.713,0.198,0.585,0.045,0.482,0.231
